Year,Utility_Number,Utility_Name,Part,Service_Type,Data_type,State,Ownership,BA_Code,Revenues_Thousand_Dollars,Sales_Megawatthours,Customers_Count
2020,62722,ATG Clean Energy Holdings Inc.,D,Bundled,O,TX,Retail Power Marketer,ERCO,16674.8,335710,18545
2020,62790,"Summer Energy Midwest, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,0,0,0
2020,62790,"Summer Energy Midwest, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,0,0,0
2020,62790,"Summer Energy Midwest, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,0,0,0
2020,62862,Chariot Energy,D,Bundled,O,TX,Retail Power Marketer,ERCO,49983,482539,31931
2020,62914,StateWise Energy Pennsylvania LLC,B,Energy,O,PA,Retail Power Marketer,PJM,1512,13172,1718
2020,62952,"Southern Federal Power, LLC",D,Bundled,O,TX,Retail Power Marketer,ERCO,6558,143837,5657
2020,62987,"Evolve Retail Energy, LLC",D,Bundled,O,TX,Retail Power Marketer,ERCO,367.8,4184,258
2020,63007,First Choice Energy LLC,B,Energy,O,NY,Retail Power Marketer,NYIS,898.5,8921,404
2020,63008,Agressive Energy LLC,B,Energy,O,IL,Retail Power Marketer,PJM,0,0,0
2020,63008,Agressive Energy LLC,B,Energy,O,MD,Retail Power Marketer,PJM,0,0,0
2020,63008,Agressive Energy LLC,B,Energy,O,NJ,Retail Power Marketer,PJM,0,0,0
2020,63008,Agressive Energy LLC,B,Energy,O,NY,Retail Power Marketer,NYIS,0,0,0
2020,63008,Agressive Energy LLC,B,Energy,O,OH,Retail Power Marketer,PJM,0,0,0
2020,63008,Agressive Energy LLC,B,Energy,O,PA,Retail Power Marketer,PJM,0,0,0
2020,63027,Josco Energy Corp-  NY,B,Energy,O,NY,Retail Power Marketer,NYIS,10507.3,60967,12631
2020,63028,Josco Energy USA LLC,B,Energy,O,MD,Retail Power Marketer,PJM,2517,19441,2453
2020,63028,Josco Energy USA LLC,B,Energy,O,NJ,Retail Power Marketer,PJM,3885,23809,4443
2020,63028,Josco Energy USA LLC,B,Energy,O,OH,Retail Power Marketer,PJM,1005.4,11063,1524
2020,63028,Josco Energy USA LLC,B,Energy,O,PA,Retail Power Marketer,PJM,2368,18881,2374
2020,63029,Josco Energy IL LLC,B,Energy,O,IL,Retail Power Marketer,PJM,164.2,1668,389
2020,63112,Bulb US LLC,D,Bundled,O,TX,Retail Power Marketer,ERCO,1963.6,38345,2974
2020,63122,"Approved Energy II, LLC",B,Energy,O,NJ,Retail Power Marketer,PJM,87,1091,1
2020,63122,"Approved Energy II, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,3792,49342,654
2020,63123,"Iberdrola Solutions, LLC",D,Bundled,O,TX,Retail Power Marketer,ERCO,11485.7,88733,8987
2020,63168,Median Energy Corp.,B,Energy,O,NJ,Retail Power Marketer,PJM,357.4,2215,385
2020,63168,Median Energy Corp.,B,Energy,O,NY,Retail Power Marketer,NYIS,4589.2,27561,5902
2020,63168,Median Energy Corp.,B,Energy,O,OH,Retail Power Marketer,PJM,2032.6,17093,2240
