City,Geographic Identifier,Area Name,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino,,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
3611902,16000US3611902,Camillus village,1156,1055,1150,,36,0,6,0,0,53,6,4,0,0,0,0,2,0
3611935,16000US3611935,Campbell CDP,713,703,710,,7,0,0,0,0,0,3,3,0,0,0,0,0,0
3612111,16000US3612111,Canajoharie village,1905,1686,1831,,0,47,22,0,0,76,74,74,0,0,0,0,0,0
3612144,16000US3612144,Canandaigua city,10287,9663,10014,,127,60,66,0,42,56,273,178,1,0,0,0,94,0
3612177,16000US3612177,Canaseraga village,457,449,453,,0,0,4,0,0,0,4,4,0,0,0,0,0,0
3612188,16000US3612188,Canastota village,4586,4371,4586,,20,0,0,0,0,195,0,0,0,0,0,0,0,0
3612210,16000US3612210,Candor village,697,681,683,,0,0,0,0,0,2,14,11,3,0,0,0,0,0
3612254,16000US3612254,Canisteo village,2341,2302,2336,,12,0,8,0,0,14,5,0,0,0,0,0,5,0
3612331,16000US3612331,Canton village,6505,5563,6248,,391,22,149,0,33,90,257,71,40,9,12,0,91,34
3612353,16000US3612353,Cape Vincent village,573,534,543,,3,0,4,0,0,2,30,26,4,0,0,0,0,0
3612419,16000US3612419,Carle Place CDP,5131,3438,4323,,134,0,453,0,237,61,808,377,15,0,0,0,336,80
3612532,16000US3612532,Carmel Hamlet CDP,6345,5183,5432,,188,0,9,0,22,30,913,663,29,0,0,0,115,106
3612584,16000US3612584,Caroga Lake CDP,516,453,516,,0,14,0,0,0,49,0,0,0,0,0,0,0,0
3612683,16000US3612683,Carthage village,3405,2989,3257,,64,0,0,0,0,204,148,135,8,0,0,0,5,0
3612749,16000US3612749,Cassadaga village,608,577,594,,0,0,17,0,0,0,14,3,0,0,0,0,11,0
3612771,16000US3612771,Castile village,1026,933,1026,,0,0,0,0,0,93,0,0,0,0,0,0,0,0
3612870,16000US3612870,Castleton-on-Hudson village,1365,1255,1283,,7,0,0,0,0,21,82,64,0,0,0,0,18,0
3612881,16000US3612881,Castorland village,360,270,283,,3,0,0,0,0,10,77,11,0,0,0,0,36,30
3612958,16000US3612958,Cato village,521,521,521,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613002,16000US3613002,Catskill village,3846,2595,3749,,863,160,77,0,0,54,97,94,3,0,0,0,0,0
3613024,16000US3613024,Cattaraugus village,1042,962,985,,10,5,0,0,0,8,57,0,0,0,0,0,57,0
3613068,16000US3613068,Cayuga village,454,431,450,,4,2,7,0,2,4,4,2,0,2,0,0,0,0
3613079,16000US3613079,Cayuga Heights village,3689,2827,3468,,32,18,477,0,48,66,221,106,33,35,0,0,46,1
3613145,16000US3613145,Cazenovia village,2846,2402,2688,,196,34,42,0,0,14,158,110,19,0,0,0,16,13
3613233,16000US3613233,Cedarhurst village,6642,5931,6197,,105,0,133,0,0,28,445,188,0,0,1,0,256,0
3613288,16000US3613288,Celoron village,1001,939,973,,0,0,17,0,0,17,28,19,0,9,0,0,0,0
3613376,16000US3613376,Centereach CDP,31493,22753,26245,,1277,0,1557,0,154,504,5248,4440,102,23,29,0,516,138
3613420,16000US3613420,Center Moriches CDP,8147,6471,6913,,274,0,77,0,13,78,1234,922,0,0,29,0,247,36
