City,Geographic Identifier,Area Name,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino,,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
3635980,16000US3635980,Hudson Falls village,7114,6746,7067,,118,43,24,0,15,121,47,29,0,0,0,0,1,17
3636156,16000US3636156,Hunt CDP,136,133,133,,0,0,0,0,0,0,3,3,0,0,0,0,0,0
3636167,16000US3636167,Hunter village,341,341,341,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3636233,16000US3636233,Huntington CDP,17420,15581,16534,,274,0,509,0,0,170,886,617,13,10,0,0,213,33
3637022,16000US3637022,Huntington Bay village,1390,1317,1369,,3,8,29,0,12,0,21,9,5,0,0,0,0,7
3637044,16000US3637044,Huntington Station CDP,32866,15984,21333,,2754,0,1006,0,1084,505,11533,4881,183,140,74,0,6027,228
3637132,16000US3637132,Hurley CDP,3026,2694,2852,,103,7,19,0,0,29,174,105,35,0,0,0,24,10
3637198,16000US3637198,Hyde Park CDP,1997,1735,1870,,87,22,0,0,0,26,127,78,0,0,0,0,49,0
3637275,16000US3637275,Ilion village,7812,7028,7410,,172,6,46,0,0,158,402,113,147,0,0,71,71,0
3637528,16000US3637528,Interlaken village,583,531,567,,4,5,4,5,0,18,16,16,0,0,0,0,0,0
3637583,16000US3637583,Inwood CDP,9892,2999,5241,,1709,0,460,0,40,33,4651,1374,56,50,0,0,3122,49
3637737,16000US3637737,Irondequoit CDP,50302,39428,45870,,4756,76,636,16,115,843,4432,2662,276,21,20,0,1053,400
3637803,16000US3637803,Irvington village,6529,5486,6130,,12,0,472,17,0,143,399,288,0,0,0,0,111,0
3637840,16000US3637840,Islandia village,3341,1589,2329,,292,9,358,0,3,78,1012,579,39,0,23,0,266,105
3637847,16000US3637847,Island Park village,4835,2658,2822,,25,3,117,0,6,13,2013,1421,30,0,0,0,442,120
3637869,16000US3637869,Islip CDP,17853,13468,15038,,1002,0,276,0,63,229,2815,1708,47,0,54,0,888,118
3638022,16000US3638022,Islip Terrace CDP,5579,4402,4680,,40,0,181,0,0,57,899,817,0,0,0,0,82,0
3638077,16000US3638077,Ithaca city,30569,19687,28578,,1608,65,5251,0,209,1758,1991,1237,81,8,21,0,549,95
3638253,16000US3638253,Jamesport CDP,971,907,938,,0,0,31,0,0,0,33,0,0,0,0,0,33,0
3638264,16000US3638264,Jamestown city,29504,24175,26589,,1214,44,144,20,28,964,2915,1507,77,4,0,0,1224,103
3638275,16000US3638275,Jamestown West CDP,2542,2477,2523,,16,0,6,0,0,24,19,14,1,0,0,0,4,0
3638451,16000US3638451,Jefferson Heights CDP,1084,1013,1069,,47,0,9,0,0,0,15,5,0,0,0,0,10,0
3638500,16000US3638500,Jefferson Valley-Yorktown CDP,14205,11212,12898,,618,212,604,0,26,226,1307,1118,29,0,0,0,39,121
3638506,16000US3638506,Jeffersonville village,369,288,321,,0,0,9,0,7,17,48,42,0,0,0,0,6,0
3638539,16000US3638539,Jericho CDP,13889,8372,13412,,180,0,4362,0,122,376,477,273,0,0,0,0,149,55
3638748,16000US3638748,Johnson City village,14448,10662,13706,,1128,17,1363,9,0,527,742,276,60,44,0,0,160,202
3638781,16000US3638781,Johnstown city,8277,7403,7961,,378,0,39,0,0,141,316,140,0,0,0,0,130,46
3638825,16000US3638825,Jordan village,1451,1411,1449,,0,5,0,0,0,33,2,0,0,0,0,0,2,0
3638934,16000US3638934,Kaser village,5262,5145,5262,,19,0,0,0,16,82,0,0,0,0,0,0,0,0
3638946,16000US3638946,Katonah CDP,1761,1576,1741,,11,0,83,0,0,71,20,20,0,0,0,0,0,0
3639089,16000US3639089,Keeseville CDP,2932,2780,2859,,23,26,0,3,0,27,73,38,0,0,0,0,13,22
3639232,16000US3639232,Kenmore village,15132,13223,14662,,886,45,140,0,13,355,470,337,51,0,14,0,10,58
3639243,16000US3639243,Kennedy CDP,382,378,382,,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3639309,16000US3639309,Kensington village,1368,1040,1290,,4,0,243,0,0,3,78,78,0,0,0,0,0,0
3639397,16000US3639397,Kerhonkson CDP,2057,1408,1887,,82,11,0,0,24,362,170,106,0,0,0,0,55,9
3639463,16000US3639463,Keuka Park CDP,1049,926,1031,,37,17,51,0,0,0,18,18,0,0,0,0,0,0
3639562,16000US3639562,Kinderhook village,1304,1220,1222,,0,0,0,0,0,2,82,73,0,0,6,0,3,0
3639672,16000US3639672,Kings Park CDP,16424,14341,15381,,173,0,696,0,19,152,1043,534,0,7,0,0,437,65
3639694,16000US3639694,Kings Point village,5223,4646,4929,,28,0,140,0,0,115,294,25,6,0,0,0,255,8
3639727,16000US3639727,Kingston city,23070,14585,19666,,3360,31,717,0,29,944,3404,1456,245,65,0,0,827,811
3639853,16000US3639853,Kiryas Joel village,24571,24149,24201,,7,0,0,0,0,45,370,348,0,0,0,0,2,20
3640175,16000US3640175,Kysorville CDP,58,58,58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3640189,16000US3640189,Lackawanna city,17831,13381,16215,,1890,49,83,29,111,672,1616,743,76,0,9,0,529,259
3640200,16000US3640200,Lacona village,728,719,728,,2,0,0,0,0,7,0,0,0,0,0,0,0,0
3640233,16000US3640233,La Fargeville CDP,854,686,844,,158,0,0,0,0,0,10,10,0,0,0,0,0,0
3640398,16000US3640398,Lake Carmel CDP,8067,5741,6545,,415,27,196,0,55,111,1522,962,7,0,0,0,479,74
3640486,16000US3640486,Lake Erie Beach CDP,3562,3435,3523,,65,10,0,0,0,13,39,39,0,0,0,0,0,0
3640508,16000US3640508,Lake George village,949,812,886,,21,0,0,0,0,53,63,63,0,0,0,0,0,0
3640530,16000US3640530,Lake Grove village,11100,8952,10105,,170,0,675,0,147,161,995,858,0,0,0,0,137,0
3640585,16000US3640585,Lake Katrine CDP,2472,1899,2242,,145,0,48,0,0,150,230,38,0,13,0,0,152,27
3640607,16000US3640607,Lakeland CDP,2571,2395,2508,,90,0,4,0,0,19,63,63,0,0,0,0,0,0
3640651,16000US3640651,Lake Luzerne CDP,1156,1133,1151,,11,0,0,0,0,7,5,5,0,0,0,0,0,0
3640689,16000US3640689,Lake Mohegan CDP,5808,3898,4375,,104,0,350,0,0,23,1433,722,0,0,0,0,708,3
3640761,16000US3640761,Lake Placid village,2346,2254,2281,,0,7,16,4,0,0,65,26,0,0,0,0,0,39
3640838,16000US3640838,Lake Ronkonkoma CDP,20667,15412,17895,,905,21,1190,0,13,354,2772,1978,73,0,0,6,470,245
3640937,16000US3640937,Lake Success village,3119,1423,2990,,197,14,1304,0,0,52,129,65,0,0,0,0,64,0
3641003,16000US3641003,Lakeview CDP,6131,161,5215,,4532,0,370,0,0,152,916,350,313,0,0,0,252,1
3641036,16000US3641036,Lakeville CDP,800,761,800,,39,0,0,0,0,0,0,0,0,0,0,0,0,0
3641069,16000US3641069,Lakewood village,2847,2617,2700,,8,0,10,0,28,37,147,147,0,0,0,0,0,0
3641135,16000US3641135,Lancaster village,10144,9625,9845,,67,28,64,0,0,61,299,283,0,0,0,0,16,0
3641223,16000US3641223,Lansing village,3554,1905,3361,,156,0,1132,0,0,168,193,124,15,0,0,0,54,0
3641333,16000US3641333,Larchmont village,6096,4849,5493,,38,0,461,0,7,138,603,489,64,15,0,0,20,15
3641432,16000US3641432,Lattingtown village,1940,1821,1879,,0,0,27,0,0,31,61,53,0,0,0,0,8,0
3641465,16000US3641465,Laurel CDP,970,758,775,,13,0,0,0,0,4,195,191,0,0,0,0,4,0
3641487,16000US3641487,Laurel Hollow village,2034,1766,1901,,33,0,94,0,5,3,133,68,0,0,0,0,40,25
3641520,16000US3641520,Laurens village,209,192,203,,9,0,0,0,2,0,6,4,2,0,0,0,0,0
3641553,16000US3641553,Lawrence village,6544,6229,6372,,18,0,125,0,0,0,172,47,0,0,0,0,125,0
3641784,16000US3641784,Leeds CDP,320,320,320,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3641872,16000US3641872,Leicester village,518,475,513,,0,0,6,0,0,32,5,5,0,0,0,0,0,0
3642026,16000US3642026,Le Roy village,4224,3764,4022,,161,0,47,0,0,50,202,147,0,0,0,0,0,55
3642081,16000US3642081,Levittown CDP,51634,38084,43642,,522,0,3883,0,237,916,7992,4648,91,16,11,0,2754,472
3642147,16000US3642147,Lewiston village,2587,2316,2577,,3,10,217,0,0,31,10,10,0,0,0,0,0,0
3642224,16000US3642224,Liberty village,4125,2126,2858,,638,0,72,0,0,22,1267,518,0,0,24,0,673,52
3642279,16000US3642279,Lido Beach CDP,3024,2819,2903,,5,0,56,0,0,23,121,101,0,0,18,0,2,0
3642323,16000US3642323,Lima village,2278,2036,2119,,10,0,51,0,2,20,159,61,11,0,6,0,81,0
3642345,16000US3642345,Lime Lake CDP,815,805,811,,0,6,0,0,0,0,4,4,0,0,0,0,0,0
3642378,16000US3642378,Limestone CDP,357,349,356,,3,3,0,0,0,1,1,0,0,0,0,0,1,0
3642455,16000US3642455,Lincolndale CDP,1335,1195,1203,,0,0,8,0,0,0,132,96,0,0,0,14,22,0
3642488,16000US3642488,Lincoln Park CDP,2291,1644,2031,,196,0,96,0,0,95,260,260,0,0,0,0,0,0
3642554,16000US3642554,Lindenhurst village,26979,20081,22119,,990,11,524,0,0,513,4860,2927,22,9,0,0,1551,351
3642609,16000US3642609,Linwood CDP,66,66,66,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3642642,16000US3642642,Lisle village,228,216,226,,0,0,0,0,0,10,2,0,0,0,0,0,0,2
3642741,16000US3642741,Little Falls city,4708,4419,4498,,45,6,16,0,0,12,210,159,3,0,0,0,6,42
3642829,16000US3642829,Little Valley village,1089,912,1027,,62,44,0,0,0,9,62,28,4,0,0,0,30,0
3642884,16000US3642884,Liverpool village,2205,2066,2162,,19,0,35,0,0,42,43,43,0,0,0,0,0,0
3642928,16000US3642928,Livingston Manor CDP,1091,680,967,,0,0,5,0,236,46,124,97,0,0,0,0,27,0
3642950,16000US3642950,Livonia village,1353,1281,1316,,2,4,15,0,0,14,37,13,0,0,0,0,0,24
3642972,16000US3642972,Livonia Center CDP,238,230,238,,8,0,0,0,0,0,0,0,0,0,0,0,0,0
3643005,16000US3643005,Lloyd Harbor village,3677,3334,3556,,23,0,136,0,0,63,121,119,0,0,0,0,2,0
3643038,16000US3643038,Loch Sheldrake CDP,1273,769,990,,186,0,12,0,0,23,283,90,5,0,0,0,188,0
3643082,16000US3643082,Lockport city,20490,16878,19668,,1624,84,262,0,0,820,822,533,46,0,0,0,154,89
3643192,16000US3643192,Locust Valley CDP,3481,2817,3155,,127,0,63,0,142,6,326,248,0,0,0,0,36,42
3643214,16000US3643214,Lodi village,326,319,322,,0,3,0,0,0,0,4,2,0,0,0,0,2,0
3643335,16000US3643335,Long Beach city,33507,24522,28862,,2401,73,1181,0,187,498,4645,2645,106,0,15,0,1436,443
3643401,16000US3643401,Long Lake CDP,352,326,340,,14,0,0,0,0,0,12,12,0,0,0,0,0,0
3643511,16000US3643511,Lorenz Park CDP,2140,1692,2005,,123,0,60,0,58,72,135,80,0,0,0,0,20,35
3643533,16000US3643533,Lorraine CDP,59,59,59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3643720,16000US3643720,Lowville village,3233,3062,3204,,53,58,7,24,0,0,29,7,0,0,0,0,22,0
3643874,16000US3643874,Lynbrook village,19524,13286,14868,,613,0,544,0,158,267,4656,2661,232,186,0,0,1247,330
3643885,16000US3643885,Lyncourt CDP,3974,3130,3745,,155,0,238,0,0,222,229,141,22,0,0,0,21,45
3643918,16000US3643918,Lyndonville village,864,792,841,,14,3,0,0,0,32,23,14,0,0,0,0,9,0
3643951,16000US3643951,Lyon Mountain CDP,245,213,243,,3,9,11,0,7,0,2,0,0,0,0,0,2,0
3643962,16000US3643962,Lyons CDP,3590,2890,3466,,360,0,28,0,0,188,124,99,0,0,0,0,25,0
3644006,16000US3644006,Lyons Falls village,576,564,576,,4,0,0,0,0,8,0,0,0,0,0,0,0,0
3644149,16000US3644149,Macedon CDP,1708,1563,1651,,41,0,27,8,0,12,57,53,0,0,0,0,0,4
3644193,16000US3644193,McGraw village,1023,928,942,,3,0,0,0,0,11,81,14,0,0,0,0,67,0
3644226,16000US3644226,Machias CDP,498,441,441,,0,0,0,0,0,0,57,57,0,0,0,0,0,0
3644424,16000US3644424,Madison village,500,464,464,,0,0,0,0,0,0,36,29,0,0,0,0,0,7
3644479,16000US3644479,Madrid CDP,757,733,745,,3,0,3,0,0,6,12,4,0,0,0,0,0,8
3644534,16000US3644534,Mahopac CDP,8203,6791,7170,,1,0,202,0,9,167,1033,513,0,0,18,0,463,39
3644677,16000US3644677,Malden-on-Hudson CDP,222,84,105,,0,0,0,0,0,21,117,117,0,0,0,0,0,0
3644710,16000US3644710,Malone village,5659,5462,5476,,11,3,0,0,0,0,183,32,0,0,0,0,61,90
3644787,16000US3644787,Malverne village,8517,6630,7854,,455,7,390,0,42,330,663,526,0,0,0,0,123,14
3644792,16000US3644792,Malverne Park Oaks CDP,276,186,186,,0,0,0,0,0,0,90,0,0,0,0,0,90,0
3644831,16000US3644831,Mamaroneck village,19217,12444,14434,,917,0,757,0,38,278,4783,2870,56,4,0,7,1798,48
3644853,16000US3644853,Manchester village,1798,1716,1753,,3,5,0,0,0,29,45,45,0,0,0,0,0,0
3644897,16000US3644897,Manhasset CDP,7985,4909,7111,,718,6,1222,0,38,218,874,711,0,0,11,0,144,8
3644908,16000US3644908,Manhasset Hills CDP,3615,1368,3418,,85,18,1857,0,5,85,197,197,0,0,0,0,0,0
3645018,16000US3645018,Manlius village,4486,3934,4396,,98,21,232,0,0,111,90,76,0,0,0,0,14,0
3645073,16000US3645073,Mannsville village,351,342,351,,3,0,0,0,0,6,0,0,0,0,0,0,0,0
3645106,16000US3645106,Manorhaven village,6628,3453,4667,,57,42,1034,6,0,75,1961,1014,0,0,0,0,849,98
3645139,16000US3645139,Manorville CDP,13257,10890,11846,,527,0,172,0,38,219,1411,839,70,0,0,0,279,223
3645392,16000US3645392,Marathon village,926,903,922,,7,8,0,0,4,0,4,4,0,0,0,0,0,0
3645480,16000US3645480,Marcellus village,1969,1882,1949,,17,0,45,0,0,5,20,16,0,0,0,0,0,4
3645557,16000US3645557,Margaretville village,553,497,538,,8,0,0,0,0,33,15,6,0,0,0,0,0,9
3645573,16000US3645573,Mariaville Lake CDP,358,322,358,,11,0,10,0,0,15,0,0,0,0,0,0,0,0
3645634,16000US3645634,Marion CDP,1167,1048,1117,,69,0,0,0,0,0,50,44,0,0,0,0,0,6
3645700,16000US3645700,Marlboro CDP,3545,3009,3237,,79,0,49,0,0,100,308,301,0,0,0,0,7,0
3645986,16000US3645986,Massapequa CDP,21784,20164,20553,,80,51,164,0,46,48,1231,960,0,0,10,0,222,39
3645997,16000US3645997,Massapequa Park village,17193,15268,15922,,33,0,387,0,0,234,1271,873,11,0,0,0,173,214
3646019,16000US3646019,Massena village,10091,9268,9998,,13,263,168,0,4,282,93,82,0,0,0,0,5,6
3646074,16000US3646074,Mastic CDP,15476,9947,11663,,1189,79,113,0,90,245,3813,3060,331,12,47,0,313,50
3646085,16000US3646085,Mastic Beach village,12610,9190,10301,,554,57,184,0,16,300,2309,2115,33,0,0,0,136,25
3646107,16000US3646107,Matinecock village,824,761,804,,5,0,35,0,3,0,20,20,0,0,0,0,0,0
3646140,16000US3646140,Mattituck CDP,4676,4455,4455,,0,0,0,0,0,0,221,221,0,0,0,0,0,0
3646151,16000US3646151,Mattydale CDP,5820,4999,5396,,104,0,80,0,0,213,424,227,138,0,0,0,12,47
3646162,16000US3646162,Maybrook village,3511,2341,2890,,496,16,30,0,0,7,621,368,112,0,25,0,32,84
3646206,16000US3646206,Mayfield village,814,797,797,,0,0,0,0,0,0,17,17,0,0,0,0,0,0
3646239,16000US3646239,Mayville village,1441,1290,1376,,73,3,0,0,7,3,65,9,6,0,0,0,50,0
3646349,16000US3646349,Mechanicstown CDP,6869,3111,4551,,1169,0,117,0,0,154,2318,960,104,32,0,0,849,373
3646360,16000US3646360,Mechanicville city,5107,4685,5024,,144,20,65,0,0,110,83,38,0,12,0,0,0,33
3646404,16000US3646404,Medford CDP,24406,16337,19200,,2176,0,433,0,0,254,5206,4515,91,17,0,0,305,278
3646415,16000US3646415,Medina village,5847,4840,5250,,165,6,91,0,0,148,597,225,26,0,0,0,283,63
3646503,16000US3646503,Melrose Park CDP,2425,2390,2392,,0,0,2,0,0,0,33,9,0,0,0,0,24,0
3646514,16000US3646514,Melville CDP,17716,14526,16861,,562,0,1388,16,25,344,855,768,0,0,0,0,87,0
3646536,16000US3646536,Menands village,3923,2076,3562,,726,0,581,50,0,129,361,60,0,0,0,0,17,284
3646646,16000US3646646,Meridian village,312,310,312,,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3646668,16000US3646668,Merrick CDP,20130,17360,18747,,460,36,684,0,23,184,1383,1065,6,8,0,0,186,118
3646750,16000US3646750,Merritt Park CDP,1727,979,1637,,46,0,590,0,0,22,90,83,0,0,0,0,7,0
3646811,16000US3646811,Mexico village,1476,1392,1458,,7,1,0,0,17,41,18,9,0,0,9,0,0,0
3646866,16000US3646866,Middleburgh village,1603,1433,1520,,21,0,47,0,0,19,83,83,0,0,0,0,0,0
3646976,16000US3646976,Middle Island CDP,10228,7414,8930,,1196,6,213,0,7,94,1298,1115,69,0,0,0,106,8
3646998,16000US3646998,Middleport village,1741,1642,1725,,18,15,2,0,20,28,16,9,0,0,0,0,7,0
3647042,16000US3647042,Middletown city,27963,8959,16371,,5340,34,882,0,516,640,11592,5195,821,45,12,11,4329,1179
3647108,16000US3647108,Middleville village,554,550,554,,0,0,0,0,0,4,0,0,0,0,0,0,0,0
3647229,16000US3647229,Milford village,348,300,339,,22,0,7,0,0,10,9,7,0,0,0,0,1,1
3647273,16000US3647273,Millbrook village,1443,1200,1340,,20,3,85,0,0,32,103,69,0,0,0,0,34,0
3647306,16000US3647306,Miller Place CDP,12016,10660,10921,,31,0,121,0,0,109,1095,912,0,0,0,0,4,179
3647361,16000US3647361,Millerton village,924,694,801,,20,0,56,0,0,31,123,20,21,0,0,0,82,0
3647405,16000US3647405,Mill Neck village,1073,807,932,,0,0,97,0,11,17,141,138,0,0,0,0,3,0
3647427,16000US3647427,Millport village,469,439,469,,0,0,2,0,0,28,0,0,0,0,0,0,0,0
3647548,16000US3647548,Milton CDP (Saratoga County),3194,3112,3150,,0,0,0,0,0,38,44,44,0,0,0,0,0,0
3647554,16000US3647554,Milton CDP (Ulster County),1294,1135,1160,,24,0,0,0,0,1,134,90,0,0,0,0,44,0
3647636,16000US3647636,Mineola village,19186,12280,15493,,489,10,2394,0,47,273,3693,1708,0,0,0,0,1813,172
3647680,16000US3647680,Minetto CDP,1059,989,1029,,0,5,14,0,0,21,30,23,0,0,4,0,3,0
3647702,16000US3647702,Mineville CDP,1456,1310,1415,,93,0,4,0,0,8,41,0,0,0,0,0,34,7
3647757,16000US3647757,Minoa village,3454,2784,2989,,123,0,20,0,0,62,465,33,0,0,0,0,432,0
3647823,16000US3647823,Mohawk village,2379,2182,2341,,41,0,69,0,0,49,38,38,0,0,0,0,0,0
3647988,16000US3647988,Monroe village,8586,4284,5694,,655,119,319,0,55,262,2892,1195,36,19,0,0,1590,52
3648010,16000US3648010,Monsey CDP,23055,22263,22776,,484,0,14,0,0,15,279,207,6,0,0,0,66,0
3648054,16000US3648054,Montauk CDP,3685,3201,3298,,7,10,10,0,9,61,387,233,0,0,0,0,148,6
3648090,16000US3648090,Montebello village,4610,3884,4447,,165,23,239,0,18,118,163,108,0,0,0,0,47,8
3648142,16000US3648142,Montgomery village,4527,3291,4123,,622,0,36,0,0,174,404,308,0,0,16,26,32,22
3648175,16000US3648175,Monticello village,6433,1688,3957,,1732,65,158,0,0,314,2476,1077,120,0,0,0,758,521
3648197,16000US3648197,Montour Falls village,1638,1576,1629,,49,0,0,0,4,0,9,0,0,0,0,0,9,0
3648208,16000US3648208,Montrose CDP,3270,2551,2745,,96,0,60,0,0,38,525,287,68,0,0,0,170,0
3648241,16000US3648241,Mooers CDP,308,300,300,,0,0,0,0,0,0,8,8,0,0,0,0,0,0
3648296,16000US3648296,Moravia village,1306,1254,1294,,0,0,14,0,0,26,12,0,0,0,0,0,12,0
3648450,16000US3648450,Moriches CDP,3073,2479,2920,,70,24,212,0,0,135,153,134,0,0,0,0,1,18
3648483,16000US3648483,Morris village,575,556,556,,0,0,0,0,0,0,19,11,0,0,0,0,8,0
3648538,16000US3648538,Morrisonville CDP,1258,1153,1251,,8,0,40,0,0,50,7,0,0,0,0,0,7,0
3648571,16000US3648571,Morristown village,306,280,295,,11,0,2,0,0,2,11,8,0,0,0,0,3,0
3648593,16000US3648593,Morrisville village,1909,1519,1812,,211,0,59,0,0,23,97,44,21,0,0,0,32,0
3648750,16000US3648750,Mountain Lodge Park CDP,1765,1417,1560,,61,0,66,0,0,16,205,132,19,0,0,0,54,0
3648879,16000US3648879,Mount Ivy CDP,7075,2745,4520,,1325,0,250,0,14,186,2555,493,157,0,0,0,1267,638
3648890,16000US3648890,Mount Kisco village,10866,5266,6334,,416,0,520,0,40,92,4532,2575,34,0,0,0,1772,151
3648945,16000US3648945,Mount Morris village,2931,2284,2514,,221,9,0,0,0,0,417,195,52,0,0,0,113,57
3649066,16000US3649066,Mount Sinai CDP,11101,9430,9833,,95,0,278,0,0,30,1268,841,0,0,0,0,95,332
3649121,16000US3649121,Mount Vernon city,67896,10957,56914,,42542,294,1372,0,920,829,10982,2963,2157,124,11,0,4527,1200
3649220,16000US3649220,Munnsville village,453,425,453,,0,6,0,0,0,22,0,0,0,0,0,0,0,0
3649231,16000US3649231,Munsey Park village,2722,2174,2497,,0,0,284,0,0,39,225,218,0,0,7,0,0,0
3649242,16000US3649242,Munsons Corners CDP,2938,2738,2803,,54,0,0,0,0,11,135,129,6,0,0,0,0,0
3649330,16000US3649330,Muttontown village,3669,2415,3486,,64,0,924,0,71,12,183,44,0,0,0,0,105,34
3649363,16000US3649363,Myers Corner CDP,6777,5095,6000,,60,24,686,0,42,93,777,610,21,0,0,0,138,8
3649407,16000US3649407,Nanuet CDP,17517,9845,15333,,2719,0,2229,0,11,529,2184,1269,83,0,0,0,686,146
3649418,16000US3649418,Napanoch CDP,939,880,912,,0,4,8,0,0,20,27,0,0,0,0,0,21,6
3649424,16000US3649424,Napeague CDP,206,140,156,,0,0,0,0,0,16,50,50,0,0,0,0,0,0
3649429,16000US3649429,Naples village,875,798,835,,7,0,15,0,0,15,40,32,0,0,0,0,5,3
3649473,16000US3649473,Narrowsburg CDP,269,229,269,,0,5,35,0,0,0,0,0,0,0,0,0,0,0
3649506,16000US3649506,Nassau village,1062,1018,1042,,3,1,0,0,1,19,20,13,0,0,0,0,0,7
3649605,16000US3649605,Natural Bridge CDP,289,289,289,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3649726,16000US3649726,Nedrow CDP,2310,1473,2257,,425,221,34,0,0,104,53,47,6,0,0,0,0,0
3649748,16000US3649748,Nelliston village,567,501,544,,0,0,40,0,0,3,23,18,0,0,0,0,3,2
3649781,16000US3649781,Nelsonville village,658,524,547,,2,0,13,0,1,7,111,85,0,0,0,0,26,0
3649825,16000US3649825,Nesconset CDP,13293,11368,12201,,138,0,522,0,0,173,1092,921,0,0,0,0,171,0
3649891,16000US3649891,Newark village,8914,7185,8203,,548,10,157,31,0,272,711,391,74,35,0,0,198,13
3649902,16000US3649902,Newark Valley village,987,903,965,,3,6,14,0,0,39,22,12,0,0,0,0,10,0
3649946,16000US3649946,New Berlin village,965,905,935,,0,0,18,0,0,12,30,30,0,0,0,0,0,0
3650034,16000US3650034,Newburgh city,28255,6051,14042,,6551,68,407,0,201,764,14213,5543,368,0,0,11,7684,607
3650067,16000US3650067,New Cassel CDP,14867,1018,7305,,5724,16,111,0,363,73,7562,1748,152,0,0,67,5248,347
3650100,16000US3650100,New City CDP,35101,23191,30735,,2835,30,3866,0,121,692,4366,2689,536,18,39,0,979,105
3650221,16000US3650221,Newfane CDP,3376,3224,3365,,34,44,0,0,0,63,11,2,0,0,0,0,9,0
3650257,16000US3650257,Newfield Hamlet CDP,451,451,451,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3650298,16000US3650298,New Hartford village,1774,1631,1684,,5,8,21,0,6,13,90,49,31,0,0,0,10,0
3650353,16000US3650353,New Hempstead village,5385,3431,4664,,936,0,277,0,0,20,721,454,70,0,0,0,197,0
3650397,16000US3650397,New Hyde Park village,9841,4125,7631,,88,44,3022,51,32,269,2210,895,0,54,10,0,1192,59
3650551,16000US3650551,New Paltz village,7165,5249,6144,,297,0,474,0,24,100,1021,461,166,6,41,0,270,77
3650573,16000US3650573,Newport village,516,510,516,,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3650617,16000US3650617,New Rochelle city,79067,34447,55162,,14791,2,4042,25,960,895,23905,10303,1098,62,38,24,10741,1639
3650705,16000US3650705,New Square village,8373,8255,8292,,9,0,0,0,0,28,81,81,0,0,0,0,0,0
3650727,16000US3650727,New Suffolk CDP,250,238,250,,12,0,0,0,0,0,0,0,0,0,0,0,0,0
3650837,16000US3650837,New Windsor CDP,9019,5174,6768,,1163,12,295,23,0,101,2251,1585,108,34,0,0,429,95
3651000,16000US3651000,New York city,8419316,2702286,5971454,,1837549,14463,1176762,2828,70188,167378,2447862,894931,209328,21787,9846,1974,1171426,138570
3651011,16000US3651011,New York Mills village,3362,3125,3323,,0,0,82,0,0,116,39,39,0,0,0,0,0,0
3651055,16000US3651055,Niagara Falls city,48252,31442,45705,,10581,554,836,33,38,2221,2547,1388,91,11,0,0,411,646
3651110,16000US3651110,Nichols village,560,558,560,,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3651262,16000US3651262,Niskayuna CDP,4895,4076,4614,,90,0,291,0,0,157,281,124,0,0,0,0,137,20
3651286,16000US3651286,Nissequogue village,1678,1392,1564,,98,0,63,0,0,11,114,82,0,0,0,0,32,0
3651297,16000US3651297,Niverville CDP,1228,1174,1222,,11,0,0,0,0,37,6,0,0,0,0,0,6,0
3651319,16000US3651319,Norfolk CDP,990,936,987,,47,0,0,0,0,4,3,3,0,0,0,0,0,0
3651396,16000US3651396,North Amityville CDP,18382,1287,11523,,9590,93,175,0,103,275,6859,1569,244,0,0,0,4503,543
3651418,16000US3651418,Northampton CDP,885,179,764,,564,0,4,0,0,17,121,87,34,0,0,0,0,0
3651440,16000US3651440,North Babylon CDP,17134,11659,13960,,1090,28,683,0,32,468,3174,2079,110,29,0,0,918,38
3651467,16000US3651467,North Ballston Spa CDP,1165,1086,1162,,50,0,0,0,0,26,3,0,0,0,0,0,3,0
3651495,16000US3651495,North Bay Shore CDP,21679,3013,7293,,2633,190,316,0,677,464,14386,6634,259,15,0,0,6243,1235
3651517,16000US3651517,North Bellmore CDP,20718,16285,18225,,433,0,1162,0,0,345,2493,1621,0,28,0,0,568,276
3651528,16000US3651528,North Bellport CDP,11428,4450,7267,,2425,0,229,0,54,109,4161,3264,210,0,0,0,264,423
