"","Dataset","census_tracts","J40_DAC","Total_population","Total_BIPOC","BIPOC_p","Black_p","mean_median_household_income","mean.Median.Number.Of.Rooms","mean.Median.Home.Value","Housing_burdened","Occupied_housing_units","pop_18_64_poverty","pop_18_64","low_income","low_income_below_federal200","less_high_school","Metro","Urbal_rural_code","renters","ENERGYBRDN","PM25"
"41","CITY OF BESSEMER UTILITIES",10,6,37561,24203,64.4,57.2,43066.2,5.69,115850,5656,14402,3925,22980,12437,14885,4411,10,1,4865,5.3,32.56364
"42","CITY OF TARRANT",1,1,4734,3302,69.8,59.8,31056,5.4,79200,871,1733,793,3051,2672,2978,672,1,1,953,6,72.6685
"43","JOE WHEELER ELEC MEMBER CORP",36,2,152271,36823,24.2,12.3,52426.5555555556,5.95,124347.222222222,15449,58595,13017,89994,33777,55036,24021,33,1.91944444444444,15828,4.27777777777778,25.895175
"44","CITY OF OPELIKA - (AL)",27,0,161152,52468,32.6,22.9,47770,5.37407407407407,165681.481481481,20252,60237,22211,102670,52519,64739,11243,27,1.14814814814815,21972,3.7037037037037,25.3642296296296
"45","CITY OF ATHENS - (AL)",16,0,94727,22219,23.5,13.8,54183.75,5.89375,147175,7941,32143,6690,56273,25421,29441,11740,5,3.44375,7416,3.0625,23.339675
"46","CITY OF TUSKEGEE",12,1,18708,15742,84.1,83.2,35662.7272727273,5.7,80341.6666666667,2483,7474,2364,9704,6070,8979,2856,5,5.08333333333333,2510,5.75,16.4825583333333
"47","CITY OF HUNTSVILLE - (AL)",73,5,362276,127960,35.3,24.3,65644.7123287671,6.15479452054795,173662.5,39882,148189,26181,221897,94080,100185,24842,73,1.0958904109589,47980,2.98630136986301,23.1104808219178
"48","GUNTERSVILLE ELECTRIC BOARD",12,0,62670,16066,25.6,3.7,42967.0833333333,5.84166666666667,116475,6585,22278,7598,35962,17603,29666,12377,0,4.16666666666667,7124,3.75,30.3238583333333
"49","ARAB ELECTRIC COOP INC",5,0,24776,1688,6.8,0.4,51838.4,6.08,135880,2533,9517,1955,14355,4229,8051,3069,2,5.06,2150,3.4,33.97706
"50","ALBERTVILLE MUNICIPAL UTILITIES BOARD",3,0,14689,4045,27.5,3.3,46698,6.06666666666667,128700,1703,5300,1484,7790,3872,6640,2477,0,4,2040,3.66666666666667,24.2902333333333
"51","DECATUR UTILITIES",11,2,44008,18296,41.6,22.4,46142.4545454545,5.64545454545455,117054.545454545,5098,17995,4713,25791,12949,19401,6984,11,1,7766,4.18181818181818,26.8228272727273
"52","CITY OF HARTSELLE",1,0,3594,437,12.2,7.3,41127,5.6,114100,474,1624,146,2024,753,1192,425,1,1,731,3,17.6936
"53","CITY OF BRUNDIDGE - (AL)",8,4,33333,14661,44,36.8,39210.625,5.2375,107887.5,3976,11601,5057,20281,10043,15183,4523,3,4.125,4888,4.75,26.589725
"54","CITY OF TROY - (AL)",1,1,7499,3228,43,36.5,42363,5.6,161800,1339,3068,610,4960,1695,2773,841,0,4,1197,4,46.1234
"55","SYLACAUGA UTILITIES BOARD",22,6,80387,30043,37.4,32.6,42361.7272727273,5.70454545454545,101150,10167,31395,8367,46396,20296,35496,15447,4,4.04545454545455,9092,5.04545454545455,23.3163545454545
